"order_month","new_customers","returning_customers","total_customers","returning_customer_pct"
"2016-09-01 00:00:00","1","0","1","0.00%"
"2016-10-01 00:00:00","262","0","262","0.00%"
"2016-12-01 00:00:00","1","0","1","0.00%"
"2017-01-01 00:00:00","717","2","719","0.28%"
"2017-02-01 00:00:00","1628","7","1635","0.43%"
"2017-03-01 00:00:00","2503","10","2513","0.40%"
"2017-04-01 00:00:00","2256","21","2277","0.92%"
"2017-05-01 00:00:00","3451","36","3487","1.03%"
"2017-06-01 00:00:00","3037","43","3080","1.40%"
"2017-07-01 00:00:00","3752","54","3806","1.42%"
"2017-08-01 00:00:00","4057","60","4117","1.46%"
"2017-09-01 00:00:00","4004","82","4086","2.01%"
"2017-10-01 00:00:00","4328","89","4417","2.01%"
"2017-11-01 00:00:00","7060","127","7187","1.77%"
"2017-12-01 00:00:00","5338","122","5460","2.23%"
"2018-01-01 00:00:00","6842","136","6978","1.95%"
"2018-02-01 00:00:00","6288","119","6407","1.86%"
"2018-03-01 00:00:00","6774","152","6926","2.19%"
"2018-04-01 00:00:00","6582","165","6747","2.45%"
"2018-05-01 00:00:00","6506","190","6696","2.84%"
"2018-06-01 00:00:00","5878","184","6062","3.04%"
"2018-07-01 00:00:00","5949","154","6103","2.52%"
"2018-08-01 00:00:00","6144","182","6326","2.88%"
"2018-09-01 00:00:00","0","6","6","100.00%"
"2018-10-01 00:00:00","0","3","3","100.00%"
