"category","revenue","total_revenue"
"beleza_saude","1233131.72","13221498.11"
"relogios_presentes","1166176.98","13221498.11"
"cama_mesa_banho","1023434.76","13221498.11"
"esporte_lazer","954852.55","13221498.11"
"informatica_acessorios","888724.61","13221498.11"
"moveis_decoracao","711927.69","13221498.11"
"utilidades_domesticas","615628.69","13221498.11"
"cool_stuff","610204.10","13221498.11"
"automotivo","578966.65","13221498.11"
"brinquedos","471286.48","13221498.11"
"ferramentas_jardim","470495.28","13221498.11"
"bebes","400421.84","13221498.11"
"perfumaria","390144.65","13221498.11"
"telefonia","309860.23","13221498.11"
"moveis_escritorio","268154.31","13221498.11"
"papelaria","223788.69","13221498.11"
"pcs","218684.14","13221498.11"
"pet_shop","211695.64","13221498.11"
"instrumentos_musicais","184315.74","13221498.11"
"eletroportateis","182754.12","13221498.11"
"","170726.63","13221498.11"
"eletronicos","155043.93","13221498.11"
"fashion_bolsas_e_acessorios","149329.39","13221498.11"
"consoles_games","148003.37","13221498.11"
"construcao_ferramentas_construcao","142108.49","13221498.11"
"malas_acessorios","138701.63","13221498.11"
"eletrodomesticos_2","107953.95","13221498.11"
"casa_construcao","81407.57","13221498.11"
"eletrodomesticos","78832.48","13221498.11"
"agro_industria_e_comercio","70566.10","13221498.11"
"moveis_sala","67350.70","13221498.11"
"casa_conforto","58008.45","13221498.11"
"telefonia_fixa","55315.21","13221498.11"
"climatizacao","53323.56","13221498.11"
"audio","50570.60","13221498.11"
"portateis_casa_forno_e_cafe","46589.56","13221498.11"
"moveis_cozinha_area_de_servico_jantar_e_jardim","45531.98","13221498.11"
"livros_interesse_geral","45302.15","13221498.11"
"construcao_ferramentas_iluminacao","39957.00","13221498.11"
"construcao_ferramentas_seguranca","38773.22","13221498.11"
"industria_comercio_e_negocios","38498.81","13221498.11"
"alimentos","28731.15","13221498.11"
"market_place","27795.77","13221498.11"
"construcao_ferramentas_jardim","25096.28","13221498.11"
"artes","23657.30","13221498.11"
"fashion_calcados","23001.46","13221498.11"
"bebidas","21529.84","13221498.11"
"sinalizacao_e_seguranca","21315.05","13221498.11"
"moveis_quarto","19051.80","13221498.11"
"livros_tecnicos","18702.23","13221498.11"
"construcao_ferramentas_ferramentas","15903.95","13221498.11"
"alimentos_bebidas","14942.88","13221498.11"
"fashion_roupa_masculina","10452.33","13221498.11"
"fashion_underwear_e_moda_praia","9305.95","13221498.11"
"artigos_de_natal","8737.84","13221498.11"
"tablets_impressao_imagem","7528.41","13221498.11"
"cine_foto","6674.47","13221498.11"
"musica","6034.35","13221498.11"
"dvds_blu_ray","4542.59","13221498.11"
"artigos_de_festas","4465.19","13221498.11"
"livros_importados","4418.86","13221498.11"
"moveis_colchao_e_estofado","4323.38","13221498.11"
"portateis_cozinha_e_preparadores_de_alimentos","3933.63","13221498.11"
"fashion_roupa_feminina","2634.94","13221498.11"
"fashion_esporte","2094.52","13221498.11"
"la_cuisine","2054.99","13221498.11"
"artes_e_artesanato","1814.01","13221498.11"
"fraldas_higiene","1500.79","13221498.11"
"pc_gamer","1306.95","13221498.11"
"flores","1110.04","13221498.11"
"casa_conforto_2","760.27","13221498.11"
"cds_dvds_musicais","730.00","13221498.11"
"fashion_roupa_infanto_juvenil","519.95","13221498.11"
"seguros_e_servicos","283.29","13221498.11"
